Source Name,Source Version,Creation Date,Value
Gokila’s iPhone6s,9.3.1,2016-12-27 07:04,9
Gokila’s iPhone6s,9.3.1,2016-12-27 07:04,63
Gokila’s iPhone6s,9.3.1,2016-12-27 09:03,11
Gokila’s iPhone6s,9.3.1,2016-12-27 10:03,122
Gokila’s iPhone6s,9.3.1,2016-12-27 10:03,93
Gokila’s iPhone6s,9.3.1,2016-12-27 12:07,169
Gokila’s iPhone6s,9.3.1,2016-12-27 12:07,70
Gokila’s iPhone6s,9.3.1,2016-12-27 13:03,170
Gokila’s iPhone6s,9.3.1,2016-12-27 13:03,47
Gokila’s iPhone6s,9.3.1,2016-12-27 13:03,35
Gokila’s iPhone6s,9.3.1,2016-12-27 15:13,57
Gokila’s iPhone6s,9.3.1,2016-12-27 15:13,55
Gokila’s iPhone6s,9.3.1,2016-12-27 15:13,12
Gokila’s iPhone6s,9.3.1,2016-12-27 16:02,81
Gokila’s iPhone6s,9.3.1,2016-12-27 16:02,69
Gokila’s iPhone6s,9.3.1,2016-12-27 17:01,67
Gokila’s iPhone6s,9.3.1,2016-12-27 17:01,39
Gokila’s iPhone6s,9.3.1,2016-12-27 17:01,79
Gokila’s iPhone6s,9.3.1,2016-12-27 17:01,131
Gokila’s iPhone6s,9.3.1,2016-12-27 18:03,128
Gokila’s iPhone6s,9.3.1,2016-12-27 18:03,28
Gokila’s iPhone6s,9.3.1,2016-12-27 18:03,200
Gokila’s iPhone6s,9.3.1,2016-12-27 18:03,64
Gokila’s iPhone6s,9.3.1,2016-12-27 18:03,86
Gokila’s iPhone6s,9.3.1,2016-12-27 18:03,30
Gokila’s iPhone6s,9.3.1,2016-12-27 18:03,136
Gokila’s iPhone6s,9.3.1,2016-12-27 18:03,152
Gokila’s iPhone6s,9.3.1,2016-12-27 19:01,9
Gokila’s iPhone6s,9.3.1,2016-12-27 20:01,8
Gokila’s iPhone6s,9.3.1,2016-12-27 21:03,9
Gokila’s iPhone6s,9.3.1,2016-12-27 23:05,202
Gokila’s iPhone6s,9.3.1,2016-12-27 23:05,20
Gokila’s iPhone6s,9.3.1,2016-12-27 09:01,65
Gokila’s iPhone6s,9.3.1,2016-12-27 09:01,128
Gokila’s iPhone6s,9.3.1,2016-12-27 09:01,16
Gokila’s iPhone6s,9.3.1,2016-12-27 10:01,8
Gokila’s iPhone6s,9.3.1,2016-12-27 16:02,43
Gokila’s iPhone6s,9.3.1,2016-12-27 16:02,43
Gokila’s iPhone6s,9.3.1,2016-12-27 18:05,30
Gokila’s iPhone6s,9.3.1,2016-12-27 18:05,17
Gokila’s iPhone6s,9.3.1,2016-12-27 03:27,8
Gokila’s iPhone6s,9.3.1,2016-12-27 03:27,39
Gokila’s iPhone6s,9.3.1,2016-12-27 09:27,53
Gokila’s iPhone6s,9.3.1,2016-12-27 09:27,16
Gokila’s iPhone6s,9.3.1,2016-12-27 09:27,64
